prefecture,year,crime_count,tri,population,tri_z,log_pop,t,tri_x_t
広島,2011,25937,41.40092484685926,2838632.0,0.593333059112754,14.85883280394658,5,2.9666652955637702
徳島,2011,6492,47.73623829676473,750519.0,1.072155311221455,13.528520246190894,5,5.360776556107275
愛媛,2011,16156,57.21635612050778,1381761.0,1.7886615113508608,14.138869330582946,5,8.943307556754304
愛知,2011,118963,10.883867203704943,15130618.0,-1.7131426005318728,16.532230930931686,5,-8.565713002659365
新潟,2011,20566,38.591502737018445,2259309.0,0.3809972635132434,14.630569572284342,5,1.9049863175662172
東京,2011,186432,16.955522243991485,27481464.0,-1.2542476202905202,17.129022299008525,5,-6.271238101452601
栃木,2011,23067,18.515072814739696,1976121.0,-1.136376969932374,14.49664639023299,5,-5.68188484966187
沖縄,2011,12403,17.74619335350651,1475800.0,-1.1944887899928782,14.204710773606402,5,-5.972443949964391
滋賀,2011,13762,21.63035830865412,1420080.0,-0.9009240554155826,14.166223766018685,5,-4.504620277077914
熊本,2011,14045,35.4484955253761,1780079.0,0.14344914480178017,14.392168303305887,5,0.7172457240089009
石川,2011,8081,23.969825602776154,1145948.0,-0.7241073900108305,13.951742800009185,5,-3.620536950054152
神奈川,2011,85659,25.07439573979091,14462286.0,-0.6406241078023847,16.48705485348609,5,-3.2031205390119233
福井,2011,5674,50.37581488422377,786503.0,1.2716542020363042,13.575351815840646,5,6.358271010181521
福岡,2011,73421,23.005781585190512,4546317.0,-0.7969697244923494,15.329828012595692,5,-3.984848622461747
福島,2011,16179,31.14665666094769,1901053.0,-0.18168333515547966,14.457918501145048,5,-0.9084166757773983
秋田,2011,4429,31.544540536562607,1000223.0,-0.15161131821328477,13.81573353310347,5,-0.7580565910664239
群馬,2011,20981,35.37874920856942,1981202.0,0.13817772630706265,14.49921428918491,5,0.6908886315353133
